source_url,target_url,type,status,notes
https://fale.ufal.br/grupo/fonufal/,/,page,migrated,home institutional content
https://fale.ufal.br/grupo/fonufal/?page_id=14893,/noticias/,page,migrated,all 52 posts extracted with full content and local images
https://fale.ufal.br/grupo/fonufal/?page_id=14896,/team/,page,migrated,all 66 profiles preserved with photo, bio and links
https://fale.ufal.br/grupo/fonufal/?page_id=15350,/contato/,page,inventoried,WordPress form will not be copied directly
https://fale.ufal.br/grupo/fonufal/?page_id=14895,,protected,excluded,internal password-protected area stays outside GitHub Pages
https://fale.ufal.br/grupo/fonufal/?p=15903,/noticias/minicurso-fonetica-acustica/,post,migrated,full content and local images preserved
https://fale.ufal.br/grupo/fonufal/?p=15776,/noticias/participacao-na-sbpc/,post,migrated,full content and local images preserved
https://fale.ufal.br/grupo/fonufal/?p=15772,/noticias/estudos-em-fonetica-e-fonologia/,post,migrated,full content and local images preserved
https://fale.ufal.br/grupo/fonufal/?p=15761,/noticias/artigo-de-divulgacao-cientifica/,post,migrated,full content and local images preserved
https://fale.ufal.br/grupo/fonufal/?p=15756,/noticias/defesa-de-tese-maraisa-soares/,post,migrated,full content and local images preserved
https://fale.ufal.br/grupo/fonufal/?p=15753,/noticias/novo-artigo/,post,migrated,full content and local images preserved
https://fale.ufal.br/grupo/fonufal/?p=15738,/noticias/defesa-de-tese/,post,migrated,full content and local images preserved
https://fale.ufal.br/grupo/fonufal/?p=15734,/noticias/defesa-de-tese-15734/,post,migrated,full content and local images preserved
https://fale.ufal.br/grupo/fonufal/?p=15730,/noticias/primeiro-surdo-formado-letras-libras-da-ufal-e-pesquisador-do-fonufal/,post,migrated,full content and local images preserved
https://fale.ufal.br/grupo/fonufal/?p=15728,/noticias/artigo-na-delta/,post,migrated,full content and local images preserved
https://fale.ufal.br/grupo/fonufal/?p=15725,/noticias/susana-carvalho-recebe-premio/,post,migrated,full content and local images preserved
https://fale.ufal.br/grupo/fonufal/?p=15717,/noticias/premio-de-excelencia/,post,migrated,full content and local images preserved
https://fale.ufal.br/grupo/fonufal/?p=15706,/noticias/fonufal-no-speech-prosody-2018/,post,migrated,full content and local images preserved
https://fale.ufal.br/grupo/fonufal/?p=15703,/noticias/defesa-de-musiliyu-oyedeji/,post,migrated,full content and local images preserved
https://fale.ufal.br/grupo/fonufal/?p=15700,/noticias/defesa-do-marcos-moraes/,post,migrated,full content and local images preserved
https://fale.ufal.br/grupo/fonufal/?p=15691,/noticias/defesa-de-dissertacao-de-ebson-wilkerson/,post,migrated,full content and local images preserved
https://fale.ufal.br/grupo/fonufal/?p=15683,/noticias/remildo-barbosa-publica-seu-primeiro-artigo/,post,migrated,full content and local images preserved
https://fale.ufal.br/grupo/fonufal/?p=15642,/noticias/popularizacao-de-c-t/,post,migrated,full content and local images preserved
https://fale.ufal.br/grupo/fonufal/?p=15633,/noticias/nova-pesquisadora-susana-carvalho/,post,migrated,full content and local images preserved
https://fale.ufal.br/grupo/fonufal/?p=15608,/noticias/defesas-de-crislaini-dias-mariana-sousa/,post,migrated,full content and local images preserved
